Date,Open,High,Low,Close,Volume
2020-01-01,174.9080237694725,182.1914791956502,172.24182740992492,177.40651042034295,465446
2020-01-02,290.14286128198324,295.9677285790803,284.26575275557803,289.8731275026616,755522
2020-01-03,246.398788362281,250.18453690885795,237.54227583939334,237.8664495296787,119675
2020-01-04,219.73169683940733,228.05585201676988,212.14167286172128,217.57235192683507,173997
2020-01-05,131.2037280884873,138.36630864147222,122.94467775773427,128.8079142542641,248087
2020-01-06,131.19890406724053,133.66245652134455,124.26985376684408,128.01583771725385,586799
2020-01-07,111.6167224336399,120.81506709408447,104.38623335297922,113.91778874819819,619349
2020-01-08,273.235229154987,281.6380643412955,264.59246829089915,273.6880417538683,855678
2020-01-09,220.22300234864176,229.77120156826908,216.97599026890907,224.75426438115824,240905
2020-01-10,241.6145155592091,249.14599113470436,236.20969088642084,246.1044504126162,370040
2020-01-11,104.11689885916049,110.6376356225826,101.12601388278406,108.85882670930222,526188
2020-01-12,293.98197043239884,298.7461577590144,284.092958360429,294.6157589891014,411877
2020-01-13,266.48852816008434,275.88308451027046,256.9919941029048,275.04287862956966,875723
2020-01-14,142.46782213565524,151.2623971411589,141.1129808333387,141.29803090528785,666088
2020-01-15,136.36499344142013,137.77196147237584,129.01481688877894,130.72927301569513,196044
2020-01-16,136.68090197068676,137.91820474116204,127.35366711394578,127.43356539122229,367491
2020-01-17,160.84844859190753,165.23661889380998,158.22327048576153,162.76423624152935,814423
2020-01-18,204.9512863264476,213.24626630348408,198.8397792514739,211.77724472723148,589066
2020-01-19,186.38900372842315,196.27448889225764,177.14960905013078,181.8061787158376,758003
2020-01-20,158.2458280396084,160.59958005954016,156.94031423233622,160.3325800627469,402929
2020-01-21,222.37057894447588,228.7177553826451,215.09379653925433,215.91487698415787,905113
2020-01-22,127.89877213040836,132.32678984008754,124.2226310640554,131.7954489913319,466008
2020-01-23,158.42892970704364,168.15815928737507,149.10936394865487,155.8073525543335,933731
2020-01-24,173.27236865873834,181.85143896695973,163.53284445225003,165.39073148395715,117073
